Mon Apr  5 19:13:09 2021    output.prof

         253110579 function calls (246500929 primitive calls) in 208.645 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2165694    0.557    0.000    0.557    0.000 {pandas._libs.lib.is_scalar}
   597360    0.552    0.000    0.552    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/arrays/numpy_.py:50(__init__)
    74902    0.132    0.000    0.549    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/base.py:2845(get_loc)
   298680    0.380    0.000    0.544    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexing.py:2128(convert_to_index_sliceable)
   373585    0.468    0.000    0.542    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/series.py:398(_set_axis)
  1493444    0.535    0.000    0.535    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_dtype.py:24(_kind_name)
   298680    0.384    0.000    0.530    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:382(_get_block_manager_axis)
   896049    0.346    0.000    0.519    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/indexes/base.py:5551(ensure_index)
   298682    0.445    0.000    0.498    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/warnings.py:477(__exit__)
   896042    0.349    0.000    0.494    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:206(ndim)
  1222359    0.478    0.000    0.478    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:178(classes)
   903445    0.467    0.000    0.467    0.000 {method 'get' of 'dict' objects}
   970946    0.464    0.000    0.464    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/blocks.py:135(_check_ndim)
